n,max_v,max_w,ffv,onDuration,PosX0,PosY0,PosZ0,RotX0,RotY0,RotZ0,RotW0,ffX0,ffY0,ffZ0,ffX1,ffY1,ffZ1,pCheckX0,pCheckY0,pCheckZ0,pCheckX1,pCheckY1,pCheckZ1,rCheckX0,rCheckY0,rCheckZ0,rCheckW0,rCheckX1,rCheckY1,rCheckZ1,rCheckW1,distToFF0,distToFF1,rewarded,timeout,beginTime,checkTime0,checkTime1,endTime,checkWait,interWait
1,20,90,0,0.075,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,-1.17196,0.00010,12.33728,-0.69431,0.00010,34.87928,-0.36694,1.00000,10.09542,0.90695,1.00000,28.05819,0.00000,-0.02761,0.00000,0.99962,0.00000,0.09686,0.00000,0.99530,2.382017,7.00652,0,0,0.3349566,1.43585,0.00000,2.579527,0.2351414,0.4805279
2,20,90,0,0.15,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,-0.34504,0.00010,10.95043,-0.22299,0.00010,25.34801,-0.47087,1.00000,10.77013,-1.61470,1.00000,30.46326,0.00000,-0.02992,0.00000,0.99955,0.00000,-0.01412,0.00000,0.99990,0.219866,5.301194,1,0,3.006906,4.01730,5.21654,5.216547,0.1001506,0.5392761
3,20,90,0,0.15,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,-0.00465,0.00010,10.60531,-9.82174,0.00010,18.11062,-0.29084,1.00000,9.94157,-9.60255,1.00000,19.40661,0.00000,-0.04049,0.00000,0.99918,0.00000,-0.66124,0.00000,0.75018,0.7228126,1.3144,1,0,5.699729,6.68186,7.87707,7.877074,0.1887321,0.4682283
4,20,90,0,0.15,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,6.07186,0.00010,13.66633,-3.39779,0.00010,32.44490,4.52993,1.00000,11.24289,0.20746,1.00000,35.32051,0.00000,0.37541,0.00000,0.92686,0.00000,-0.24112,0.00000,0.97050,2.872384,4.611609,1,0,8.279615,9.37092,10.90134,10.90135,0.1086128,0.5779738
5,20,90,0,2.149276,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,-4.68907,0.00010,12.09931,-1.91508,0.00010,29.03953,-3.78788,1.00000,12.82475,-2.20868,1.00000,28.78874,0.00000,-0.27032,0.00000,0.96277,0.00000,0.38518,0.00000,0.92284,1.156891,0.386133,1,0,11.38064,12.47484,13.54904,13.54905,0.1816402,0.4146248
6,20,90,0,2.168411,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,-7.74968,0.00010,11.89709,1.57534,0.00010,25.19034,-4.50121,1.00000,11.04323,-3.37737,1.00000,28.91892,0.00000,-0.41661,0.00000,0.90909,0.00000,0.56355,0.00000,0.82608,3.358816,6.199326,1,0,13.90885,15.02045,16.66123,16.66123,0.1146805,0.4650772
7,20,90,0,0.15,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,3.44018,0.00010,7.52642,5.76678,0.00010,27.87493,0.92477,1.00000,7.78167,6.30721,1.00000,30.60117,0.00000,0.12817,0.00000,0.99175,0.00000,0.10844,0.00000,0.99410,2.528328,2.779291,1,0,17.04636,17.94054,19.26073,19.26073,0.3555925,0.4321331
8,20,90,0,0.15,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,5.95712,0.00010,11.02363,17.63735,0.00010,29.52520,2.11533,1.00000,10.54312,16.33856,1.00000,30.18634,0.00000,0.23159,0.00000,0.97281,0.00000,0.33208,0.00000,0.94325,3.871714,1.457384,1,0,19.62716,20.63773,22.05618,22.05618,0.1178563,0.4237668
9,20,90,0,2.411237,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.18211,0.00010,11.50552,7.64658,0.00010,15.84122,-0.23810,1.00000,11.14621,6.57248,1.00000,15.40874,0.00000,-0.01507,0.00000,0.99989,0.00000,0.57312,0.00000,0.81947,0.5528852,1.157908,1,0,22.42314,23.44408,24.55392,24.55393,0.1266644,0.4217991
10,20,90,0,2.429022,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,-6.32298,0.00010,10.95024,10.42528,0.00010,17.81126,-3.61899,1.00000,9.56448,9.07402,1.00000,24.12981,0.00000,-0.36574,0.00000,0.93072,0.00000,0.77441,0.00000,0.63268,3.038405,6.461423,1,0,24.9269,26.14920,27.93521,27.93521,0.1063991,0.4253059
